,ntopics,c_v
0,3,0.6249830170862405
1,4,0.6025469654201379
2,5,0.6313494395895367
3,6,0.5827681719591813
4,7,0.5914707074683248
5,8,0.5970455790527508
6,9,0.5988304469836867
7,10,0.5914838288755683
8,11,0.5970977687057935
9,12,0.5896281955372056
10,13,0.5837256948791987
11,14,0.5814705949339528
12,15,0.5968101528150438
13,16,0.5767160567751253
14,17,0.5875910110442181
15,18,0.5958272124080141
16,19,0.5962256806937515
17,20,0.5888506265549616
18,21,0.5777154255250724
19,22,0.5890202777569337
20,23,0.599860039289241
21,24,0.6030384411618801
22,25,0.5883106599335397
23,26,0.6036601637369486
24,27,0.6025436327203709
25,28,0.5998739199699428
26,29,0.5900333980825601
27,30,0.5986499327989104
28,31,0.5808038497871157
29,32,0.6013016046649503
30,33,0.5952126154397358
31,34,0.5938075770593214
32,35,0.5993807824169962
33,36,0.5875912693306932
34,37,0.5884338991651247
35,38,0.6015448359289222
36,39,0.5938677112280225
37,40,0.6010006257577201
38,41,0.5867168084294246
39,42,0.5907176519026118
40,43,0.6011829851868096
41,44,0.5864660752756484
42,45,0.58980503252723
43,46,0.5911909701260639
44,47,0.5905075191618029
45,48,0.5861565416499498
46,49,0.5875395580645563
47,50,0.5917738549441912
