,model_name,topic_id,word_ranking,word,word_proba
57,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,4,13,dale,0.006198642309755087
58,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,4,14,saber,0.006181738805025816
59,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,4,15,gran,0.006092433352023363
60,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,1,aspo,0.013422473333775997
61,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,2,nuevo,0.012849017046391964
62,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,3,ver,0.010844087228178978
63,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,4,semanas,0.010322876274585724
64,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,5,caso,0.010280847549438477
65,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,6,dispo,0.009842379949986935
66,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,7,orto,0.009699265472590923
67,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,8,activos,0.008557344786822796
68,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,9,millones,0.008480421267449856
69,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,10,seguro,0.007872487418353558
70,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,11,ganas,0.0076384833082556725
71,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,12,agarrar,0.007386598736047745
72,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,13,atencion,0.007215979043394327
73,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,14,contagia,0.0070473263040184975
74,dhcovid_2020-11-06_es_ar-2gram_ner_LDA,5,15,mata,0.006906137801706791
